"cost_center","location"
"10050089",SKN005 - เอื้ออาทรสวนหลวง
"10050064",AYA017 - ตลาดเจ้าพรหม
"10050410",RET004 - ถนนเทวาภิบาล ซอย 1
"10050597",PRI006 - ประจันตคาม
"10050214",ATG005 - หน้าโรงเรียนสตรีอ่างทอง
"10050047",BKK010 - วัดนาวง
"10050168",NMA042 - ด่านขุนทด
"10050238",SRN006 - ถนนภักดีชุมพล
"10050067",NBI024 - หมู่บ้านรัตนาธิเบศร์
"10050594",PNB008 - นาเฉลียง
"10050440",UDN003 - ดูโฮมอุดรธานี
"10050259",CBI012 - ตึกน้ำชลบุรี
"10050505",NSN004 - ลาดยาว
"10050642",SPB014 - ดอนเจดีย์
"10050527",BKK066 - คู้บอน 3
"10050329",NMA068 - โนนไม้แดง
"10050032",PTE009 - หมู่บ้านพงษ์พาณิชย์วิลล่า
"10050250",CBI004 - อ่างศิลา
"10050242",BKK039 - ถนนกัลปพฤกษ์ ซอย4
"10050599",CBI066 - แยกเจ
"10050432",CCO015 - แสนภูดาษ
"10050282",SKN020 - อ้อมน้อย
"10050157",NMA014 - ชุมชนหนองหญ้างาม
"10050009",PTE001 - ลำลูกกาคลอง2
"10050462",UBN013 - วารินชำราบ
"10050551",LRI010 - วงเวียนสระแก้ว
"10050378",LRI005 - พัฒนานิคมซอย 12
"10050135",SKN017 - เพชรเกษม 91
"10050340",BKK050 - หมู่บ้านนักกีฬา
"10050258",SSK001 - ขุนหาญ
"10050264",CBI016 - วัดอู่ตะเภา
"10050251",SSK005 - ศรีสะเกษ
"10050090",SKN014 - สารินซิตี้ โคกขาม
"10050020",BKK004 - วัดเวฬุวนาราม
"10050537",SPK022 - ตลาดแสงทอง (ซอยมังกร)
"10050025",PTE005 - แยกสันติสุข
"10050285",NMA061 - มุขมนตรี
"10050208",SPB008 - สามชุก
"10050028",PTE011 - เมืองปทุมธานี
"10050399",LRI006 - พรหมมาสตร์
"10050330",NMA070 - ประโดก
"10050523",NMA080 - กุดโบสถ์
"10050195",KKN015 - ประชาสโมสร
"10050044",BKK009 - ประชาอุทิศ
"10050052",SRI001 - หนองแค
"10050272",CBI010 - บ้านเก่า-หนองตำลึง
"10050281",BKK043 - บางขุนเทียน
"10050633",SPK025 - ถนนสายลวด
"10050217",BRM001 - หนองแปป
"10050604",SKW004 - วังน้ำเย็น
"10050143",NMA003 - ตลาดเทศบาลเมืองปักธงชัย
"10050328",PTE023 - ปากทางลำลูกกาคลอง 4
"10050252",CBI007 - อมตะนคร
"10050488",SPB012 - เดิมบางนางบวช
"10050327",PTE025 - พรธิสาร 3 คลอง 6
"10050603",SKW007 - ถนนอรัญประเทศ
"10050049",PTE015 - นครชัยซอย3
"10050058",PTE017 - เคหะคลองหลวง
"10050062",PTE016 - เลียบคลอง 3 ธัญญะ
"10050165",NMA038 - ปตท. ด่านเกวียน
"10050365",MKM007 - แกดำ
"10050369",MKM008 - โกสุมพิสัย
"10050437",SPK012 - แบริ่ง
"10050266",SSK006 - ถนนกวงเฮง
"10050224",CBI001 - พานทอง
"10050268",SPK004 - พระประแดง
"10050531",SPK018 - หน้าบิ๊กซีบางพลี
"10050185",KKN002 - หนองสองห้อง
"10050007",NBI007 - ประชานิเวศน์ 3
"10050459",PKN001 - หัวหิน
"10050534",SSK007 - มันนี่โอเค ศรีสะเกษ
"10050024",AYA004 - ประตูน้ำพระอินทร์
"10050162",CCO012 - เทพคุณากร
"10050356",BKK059 - พุทธมณฑลสาย 2
"10050154",NMA048 - สี่แยกโนนกุ่ม นครราชสีมา
"10050271",SRN007 - ตลาดสดสุรินทร์
"10050501",UBN015 - ดูโฮมอุบลราชธานี
"10050326",BKK055 - หทัยราษฎร์ ซอย 5
"10050070",PTE018 - ตลาดสดไอยรา
"10050626",BKK012 - หทัยราษฎร์
"10050609",RYG010 - นิคมอีสเทิร์นซีบอร์ด
"10050180",KKN004 - ตลาดคำไฮ
"10050107",BKK022 - ถนนราษฏร์พัฒนา
"10050092",SKN008 - ตลาดฟ้าใส
"10050338",BKK057 - คลองสามวา
"10050302",CBI014 - บ้านสวน ซอย 12
"10050213",MKM001 - ชุมชนอุทัยทิศ
"10050361",NMA075 - ตลาดแขกปากช่อง
"10050528",SPK019 - บางโฉลง
"10050386",SPK009 - หนามแดง
"10050620",CBI061 - พัทยากลาง
"10050519",SPK021 - คลองด่าน
"10050061",AYA016 - ท่าเรือ
"10050514",UBN017 - ศรีเมืองใหม่
"10050283",CBI002 - ตลาดทรัพย์รุ่งอรุณ
"10050097",BKK018 - ตลาดหนองจอก
"10050405",BKK061 - เอกชัย 89/2
"10050392",NMA079 - พิมาย
"10050153",NMA015 - ชุมชนศรีษะละเลิง
"10050065",BKK013 - ซอยชินเขต
"10050093",SKN009 - ซอยพันท้ายนรสิงห์
"10050524",SPK015 - หน้าตลาดสดบางพลี
"10050433",RYG006 - สวนศรีเมืองระยอง
"10050083",CCO006 - บางน้ำเปรี้ยว
"10050583",NSN009 - หนองปลิง
"10050001",NBI001 - วัดกู้
"10050141",AYA018 - ตลาดวังน้อย
"10050248",CBI009 - บ้านบึง
"10050125",NMA004 - หลังโรงงานเสริมสุข
"10050408",CBI048 - ทุ่งกราด
"10050634",RYG014 - ตลาดลาว
"10050034",BKK006 - โกสุมรวมใจ
"10050210",NMA052 - ปักธงชัย
"10050521",UBN018 - โพธิ์ไทร
"10050484",UBN012 - หน้าโลตัสวารินชำราบ
"10050494",CTI003 - สอยดาว
"10050194",ATG001 - ตลาดเกษตรสุวพันธุ์
"10050396",BKK060 - เพชรเกษม75
"10050444",PRI002 - ราษฎรดำริ
"10050315",CBI031 - ตลาดสี่มุมเมือง
"10050182",KKN013 - ชุมแพ
"10050469",SKM001 - แม่กลอง
"10050368",MKM011 - ตลาดเกษตรมหาสารคาม
"10050207",SPB003 - สองพี่น้อง
"10050321",NMA071 - โนนสูง
"10050480",NPT007 - ดอนตูม
"10050346",CBI037 - ทุ่งสุขลา อ่าวอุดม
"10050187",KKN021 - บ้านไผ่
"10050345",CBI036 - เกาะโพธิ์
"10050617",KPT007 - กะโลทัย
"10050341",BKK052 - แจ้งวัฒนะ 14
"10050545",ACR003 - เมืองอำนาจเจริญ
"10050502",CNT002 - สรรคบุรี
"10050655",SBR002 - เมืองสิงห์บุรี
"10050036",AYA007 - บ้านสร้าง
"10050246",LRI002 - ท่าศาลา
"10050653",BKK068 - ประชาอุทิศ 76/1
"10050202",KKN023 - ตลาดสำราญ
"10050591",RYG011 - บ้านฉาง
"10050021",AYA005 - วัดคลองพุทรา
"10050173",NMA043 - โชคชัย
"10050286",CBI020 - คุ้มครองแมนชั่น
"10050296",BKK047 - ลาดกระบัง 54
"10050425",SPK013 - แพรกษา
"10050200",SPB005 - ชุมชนวัดไชยนาวาส
"10050478",UTI001 - อุทัยธานี
"10050649",CBI076 - พัทยาสาย 3
"10050017",PTE003 - ไทธานี
"10050409",CBI047 - สี่แยกชากค้อ
"10050199",ATG004 - แยกอบทม
"10050423",UDN001 - กุมภวาปี
"10050261",BRM008 - คูเมือง
"10050235",BRM006 - ราชภัฏบุรีรัมย์
"10050050",AYA014 - บางบาล
"10050586",SSK009 - ขุขันธ์
"10050012",BKK002 - ช่างอากาศอุทิศ
"10050520",CPM009 - บ้านไร่ เทพสถิต
"10050582",PCT004 - สี่แยกสากเหล็ก
"10050245",CBI006 - ตลาดไฟฟ้าเสม็ด
"10050385",SPK010 - บางพลีเมืองใหม่
"10050015",AYA002 - อุทัย
"10050310",CBI030 - ชุมชนห้วยเล็ก
"10050625",CBI071 - ตลาดตะเคียนเตี้ย
"10050438",CCO016 - ดูโฮมบางนา-ตราด
"10050167",NMA044 - หนองบุญมาก
"10050045",PTE014 - รังสิตคลอง 2
"10050441",KKN019 - ประตูน้ำขอนแก่น
"10050181",KKN001 - ตลาดหนองใหญ่
"10050344",NBI032 - นนทบุรี
"10050454",RYG007 - ตลาดหมอดิษฐ์
"10050128",BKK025 - หมู่บ้าน ดีเค
"10050099",SRI012 - เสาไห้
"10050088",CCO009 - ตลาดล่างบางปะกง
"10050019",AYA003 - คลองสวนพลู
"10050476",UBN001 - เขมราฐ
"10050076",CCO002 - บ้านโพธิ์ ฉะเชิงเทรา
"10050254",SRN008 - ลำดวน
"10050308",BKK048 - นวมินทร์ ซอย 87
"10050284",NMA055 - พระทองคำ
